shoe_id,shoe_brand,shoe_model_name,shoe_category,shoe_price,currency
6393ce00-6802-4030-973f-f4e56daf7368,ASICS,Fusion Dash V103,High Tops,299.99,EUR
20916951-c6f5-4755-9c55-e4038203e3ac,Under Armour,Speed Grip M193,Sandals,268.99,EUR
aa58b89f-3f80-4206-aa21-a12942de78bc,ASICS,Pro Track HD135,Clogs,215.99,EUR
f5750623-9fea-4867-ac85-b2a3da1f3cb6,Balenciaga,Pro Lift XR142,Hiking,232.99,EUR
6eb44554-cd1f-4886-8936-e0fd60e00cec,Under Armour,Power Flow XR164,Flip Flops,352.99,EUR
cb6e9db9-c4b3-4226-afbe-4247b0b0a14f,Timberland,Max Runner XR114,Sandals,227.99,EUR
ed0c551f-c1bc-4be0-8711-19f77df5d817,Converse,Quantum Flow FX139,Golf,324.99,EUR
ad65f64c-ebbf-4c46-b729-ed39b3485e9e,Converse,Power Blast GT168,Flip Flops,221.99,EUR
0c4c0881-a459-4251-8554-05fa3aa58b96,ASICS,Swift Grip M193,Training,283.99,EUR
8f770731-0ca4-4d77-bb2f-93e7ddf1faab,Birkenstock,Elite Trail X184,Low Tops,201.99,EUR
0659d6d4-0482-4f1c-af68-465fffe0ed88,Clarks,Active Trail XR160,Skate,289.99,EUR
e2c2f1c6-b4b0-44ab-b3e3-aa34e9466bc3,Nike,Storm Blaze X198,High Tops,343.99,EUR
e4a7bcfb-2849-4142-ba24-bd16cc283157,Balenciaga,Pro Track X146,Casual,333.99,EUR
02b6ea72-bca6-49d1-bd35-dd41ea30d145,Balenciaga,Aero Drive Z183,Fashion,292.99,EUR
b46fb8f1-b89c-4cc5-ac0a-6e493b0ed02d,Adidas,Core Zoom X135,Basketball,330.99,EUR
8b647223-0d90-4185-8117-c6a2662e8fa2,ASICS,Prime Drive LT106,Formal,221.99,EUR
b5eaa8a3-ef89-45a3-9b62-838679de239c,Balenciaga,Pro Boost FX186,Hiking,260.99,EUR
c36ab6bf-07af-4133-8b87-b88256183ba4,Adidas,Speed Dash M118,Walking,276.99,EUR
6c696ba4-5077-4303-be19-bb28813fe82b,Clarks,Max Stride GT125,Walking,416.99,EUR
5a8469bd-bf4b-4c2b-8bf3-18f13a61b499,Balenciaga,Pro Boost GT132,Running,359.99,EUR
770dd054-4744-4f7d-b81f-3375ff7552e1,New Balance,Dynamic Track X174,Running,386.99,EUR
46c6b429-8266-4548-91a9-35c3bbc9a6d4,Skechers,Max Track GT153,Slippers,463.99,EUR
fa313259-a34f-4587-b367-904af346465e,Dr. Martens,True Dash FX180,Trail,333.99,EUR
dae02d10-fe7c-4d75-9508-30aa8711323a,Timberland,Max Runner GT133,Golf,291.99,EUR
6a2fc252-b88e-4b3f-bf0e-4600366bb61b,Birkenstock,Max Stride XR162,Slip-On,315.99,EUR
feab0377-51d7-428d-94ab-9375426ccd32,Dr. Martens,Hyper Flow LT102,Loafers,391.99,EUR
02d677a1-e128-4a25-97eb-910a9cd154fe,Balenciaga,Aero Form Z131,Flip Flops,243.99,EUR
4f308b92-db05-42b1-abf8-499e0334faf1,Nike,Speed Blaze XR173,Sandals,342.99,EUR
3ebaf966-5393-475d-9ec8-100b13555882,Nike,Elite Step X177,Flip Flops,243.99,EUR
05ca7158-12be-4c27-96ad-fe08cbee6b87,Nike,Fusion Force Z131,Loafers,450.99,EUR
6c06cc77-1abe-4b53-918c-94950be9b6d8,Under Armour,Quantum Force HD160,Running,307.99,EUR
b0f656fd-f44e-4725-be2f-eeebb896ad0b,Vans,Pro Track GT140,Outdoor,199.99,EUR
d2475998-b230-49ec-9bf5-79e29c3c3f8f,Merrell,Aero Blast FX155,Skate,345.99,EUR
fe43aea0-3122-4386-bcfd-39a1681f05d1,Puma,Hyper Trail X186,Flip Flops,255.99,EUR
0ed71229-5cdc-42f3-8f84-ad4ae3ab355d,Salomon,True Edge Z100,Slippers,313.99,EUR
896ecd30-7b68-413a-8ca9-0c35e3b2738a,Dr. Martens,Max Blast M167,Walking,421.99,EUR
4a2a1193-5964-463c-9a57-43e83fa02554,Adidas,Storm Drive LT163,Low Tops,282.99,EUR
7dc755ef-39ad-4b09-9fc1-059e825e3c55,Dr. Martens,Quantum Step V167,Flip Flops,337.99,EUR
f08770df-e0e1-466d-b2c8-2c2049823142,Timberland,Light Pulse HD196,Slippers,393.99,EUR
a573d6b8-f5b8-43d6-8ecb-89e4e90037b0,Skechers,Fusion Force X177,Loafers,385.99,EUR
714eb249-bc18-4c71-960a-f99039e08f11,HOKA ONE ONE,Storm Blaze Z139,Hiking,129.99,EUR
e339a222-94cf-40a6-9250-6e069d80d551,New Balance,Core Grip GT102,Sandals,274.99,EUR
2489d5c0-924f-4ecd-80e6-401ee0c9e2cd,HOKA ONE ONE,Nova Boost M146,High Tops,408.99,EUR
ed7f6e38-fd77-4ff1-bed9-bceb356523b0,Brooks,Pro Wing LT180,Soccer,262.99,EUR
41b6c7c6-907a-44fd-bd52-ae33e2f8f7c5,Adidas,Elite Pulse LT161,Work,273.99,EUR
c7d94517-ae13-413b-a98f-b936700c1ee3,Converse,Dynamic Flow XR117,Formal,302.99,EUR
